"label","index","nr_pix","rows_with_2","cols_with_2","rows_with_3p","cols_with_3p","height","width","left2tile","right2tile","verticalness","top2tile","bottom2tile","horizontalness","diagonalness"
"a","1",48,4,4,9,9,13,13,14,13,0.5625,10,10,0.416666666666667,11
"a","2",55,8,11,8,6,16,17,19,15,0.618181818181818,17,17,0.618181818181818,10
"a","3",68,1,7,15,12,16,19,16,16,0.470588235294118,14,14,0.411764705882353,18
"a","4",54,6,9,9,8,15,18,15,12,0.5,15,15,0.555555555555556,11
"a","5",60,4,11,12,8,16,20,15,15,0.5,18,18,0.6,14
"a","6",56,6,11,9,8,15,20,14,14,0.5,18,18,0.642857142857143,9
"a","7",54,10,11,6,7,16,19,13,13,0.481481481481481,15,15,0.555555555555556,12
"a","8",45,2,10,11,5,14,15,13,12,0.555555555555556,9,9,0.4,10
"approxequal","1",46,0,10,9,8,10,19,0,1,0.0217391304347826,16,16,0.695652173913043,13
"approxequal","2",48,0,14,7,6,9,21,0,0,0,23,23,0.958333333333333,11
"approxequal","3",52,1,15,11,7,13,22,2,3,0.0961538461538462,16,16,0.615384615384615,18
"approxequal","4",50,1,14,9,7,12,21,2,3,0.1,19,19,0.76,9
"approxequal","5",51,1,13,7,8,10,21,0,1,0.0196078431372549,24,24,0.941176470588235,6
"approxequal","6",51,1,12,8,8,11,21,0,2,0.0392156862745098,20,20,0.784313725490196,12
"approxequal","7",53,0,14,11,8,12,22,1,1,0.0377358490566038,19,19,0.716981132075472,16
"approxequal","8",53,0,16,9,7,12,23,0,2,0.0377358490566038,23,23,0.867924528301887,12
"b","1",48,4,4,7,8,17,12,16,20,0.75,8,8,0.333333333333333,11
"b","2",38,1,7,7,4,15,11,12,14,0.684210526315789,11,11,0.578947368421053,7
"b","3",46,3,7,7,5,18,12,17,20,0.804347826086957,12,12,0.521739130434783,6
"b","4",42,5,8,5,3,18,11,17,21,0.904761904761905,10,10,0.476190476190476,5
"b","5",39,4,7,5,4,15,11,13,17,0.769230769230769,10,10,0.512820512820513,5
